STRESS  0.00000E+00     1  5  2.00659E-01  1.51693E+00 -8.48062E-01 -2.35168E-01
STRESS  0.00000E+00     2  5  2.00367E-01  1.31940E+00 -6.51508E-01 -1.95957E-01
STRESS  0.00000E+00     3  5  2.00186E-01  1.16754E+00 -5.00251E-01 -1.65816E-01
STRESS  0.00000E+00     4  5  2.00066E-01  1.04825E+00 -3.81367E-01 -1.42137E-01
STRESS  0.00000E+00     5  5  1.99981E-01  9.52836E-01 -2.86231E-01 -1.23195E-01
STRESS  0.00000E+00     6  5  1.99920E-01  8.75312E-01 -2.08912E-01 -1.07805E-01
STRESS  0.00000E+00     7  5  1.99874E-01  8.11468E-01 -1.45223E-01 -9.51308E-02
STRESS  0.00000E+00     8  5  1.99838E-01  7.58264E-01 -9.21373E-02 -8.45670E-02
STRESS  0.00000E+00     9  5  1.99811E-01  7.13463E-01 -4.74261E-02 -7.56658E-02
STRESS  0.00000E+00    10  5  1.99795E-01  6.75402E-01 -9.41858E-03 -6.80844E-02
STRESS  0.00000E+00    31  5  2.00284E-01  5.68798E-01  9.88166E-02 -1.18222E+00
STRESS  0.00000E+00    32  5  2.00130E-01  5.29514E-01  1.37586E-01 -9.85400E-01
STRESS  0.00000E+00    33  5  2.00031E-01  4.99269E-01  1.67503E-01 -8.33924E-01
STRESS  0.00000E+00    34  5  1.99968E-01  4.75502E-01  1.91058E-01 -7.14867E-01
STRESS  0.00000E+00    35  5  1.99927E-01  4.56491E-01  2.09933E-01 -6.19600E-01
STRESS  0.00000E+00    36  5  1.99901E-01  4.41049E-01  2.25289E-01 -5.42187E-01
STRESS  0.00000E+00    37  5  1.99887E-01  4.28338E-01  2.37953E-01 -4.78433E-01
STRESS  0.00000E+00    38  5  1.99883E-01  4.17752E-01  2.48524E-01 -4.25309E-01
STRESS  0.00000E+00    39  5  1.99886E-01  4.08843E-01  2.57442E-01 -3.80583E-01
STRESS  0.00000E+00    40  5  1.99895E-01  4.01280E-01  2.65035E-01 -3.42578E-01
STRESS  0.00000E+00    71  5  2.00659E-01 -8.48062E-01  1.51693E+00 -2.35168E-01
STRESS  0.00000E+00    72  5  2.00367E-01 -6.51508E-01  1.31940E+00 -1.95957E-01
STRESS  0.00000E+00    73  5  2.00186E-01 -5.00251E-01  1.16754E+00 -1.65816E-01
STRESS  0.00000E+00    74  5  2.00066E-01 -3.81367E-01  1.04825E+00 -1.42137E-01
STRESS  0.00000E+00    75  5  1.99981E-01 -2.86231E-01  9.52836E-01 -1.23195E-01
STRESS  0.00000E+00    76  5  1.99920E-01 -2.08912E-01  8.75312E-01 -1.07805E-01
STRESS  0.00000E+00    77  5  1.99874E-01 -1.45223E-01  8.11468E-01 -9.51308E-02
STRESS  0.00000E+00    78  5  1.99838E-01 -9.21373E-02  7.58264E-01 -8.45670E-02
STRESS  0.00000E+00    79  5  1.99811E-01 -4.74261E-02  7.13463E-01 -7.56658E-02
STRESS  0.00000E+00    80  5  1.99795E-01 -9.41858E-03  6.75402E-01 -6.80844E-02
DISP    0.00000E+00    1  0.00000E+00  1.00000E+00  0.00000E+00  1.89747E-02
DISP    0.00000E+00    2  0.00000E+00  1.10000E+00  0.00000E+00  1.75814E-02
DISP    0.00000E+00    3  0.00000E+00  1.20000E+00  0.00000E+00  1.64489E-02
DISP    0.00000E+00    4  0.00000E+00  1.30000E+00  0.00000E+00  1.55172E-02
DISP    0.00000E+00    5  0.00000E+00  1.40000E+00  0.00000E+00  1.47431E-02
DISP    0.00000E+00    6  0.00000E+00  1.50000E+00  0.00000E+00  1.40953E-02
DISP    0.00000E+00    7  0.00000E+00  1.60000E+00  0.00000E+00  1.35500E-02
DISP    0.00000E+00    8  0.00000E+00  1.70000E+00  0.00000E+00  1.30892E-02
DISP    0.00000E+00    9  0.00000E+00  1.80000E+00  0.00000E+00  1.26988E-02
DISP    0.00000E+00   10  0.00000E+00  1.90000E+00  0.00000E+00  1.23678E-02
DISP    0.00000E+00   31  6.88860E-01  1.66302E+00  4.85986E-03  1.17330E-02
DISP    0.00000E+00   32  7.27130E-01  1.75541E+00  4.73288E-03  1.14272E-02
DISP    0.00000E+00   33  7.65400E-01  1.84780E+00  4.62505E-03  1.11680E-02
